X,Y,OBJECTID,FeatureID,StoreName,StoreAddress,StoreCityStateZip,StorePhone,StoreWebsite,City,HoursDays,HoursDaysSeniors,LinkName,StoreName_Easy
-84.1883871379179,34.0181279051335,1,GROCERY_06,Publix,5805 State Bridge Rd Suite G-383,"Johns Creek, GA  30097",770-813-7450,https://www.publix.com,Johns Creek,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@StateMedlock,Publix @ State Bridge & Medlock Bridge
-84.2726624847879,34.0204918974227,3,GROCERY_10,The Fresh Market,3005 Old Alabama Rd Suite 3000,"Johns Creek, GA  30022",770-664-5350,https:///www.thefreshmarket.com,Johns Creek,08:00:00,8:00 am to 9:00 am Monday through Friday,FreshMarket@OldAlaHaynes,Fresh Market @ Old Alabama & Haynes Bridge Rd
-84.2701216413293,33.9878909973835,5,GROCERY_02,Kroger,8465 Holcomb Bridge Rd  ,"Johns Creek, GA  30022",770-650-1000,https://www.kroger.com,Johns Creek,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@HolcombBarnwell,Kroger @ Holcomb Bridge & Barnwell
-84.1839703713975,34.0132204333463,6,GROCERY_11,Whole Foods Market,5945 State Bridge Rd Suite 200,"Johns Creek, GA  30022",678-514-2400,https://www.wholefoodsmarket.com,Johns Creek,08:00:00,7:00 am to 8:00 am (7 days a week),WholeFoods@StateBridge,Whole Foods @ State Bridge
-84.2127584297794,34.062774204104,7,GROCERY_07,Publix,11585 Jones Bridge Rd  ,"Johns Creek, GA  30022",770-751-4580,https://www.publix.com,Johns Creek,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@JonesKimballAbbotts,Publix @ Jones Bridge & Kimball/Abbotts Bridge
-84.2215561326167,34.045640083058,8,GROCERY_01,Aldi,10955 Jones Bridge Rd Suite 134,"Johns Creek, GA  30022",855-955-2534,https://www.aldi.us,Johns Creek,09:00:00,8:30 am to 9:30 am on Tuesdays/Thursdays,Aldi@StateBridgeJonesBridge,Aldi @ State Bridge & Jones Bridge
-84.2230983207706,34.0493865902632,10,GROCERY_03,Kroger,10945 State Bridge Rd Suite 201,"Johns Creek, GA  30022",770-751-3000,https://www.kroger.com,Johns Creek,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@StateJones,Kroger @ State Bridge & Jones Bridge
-84.2072996148345,34.0705463081151,11,GROCERY_04,Kroger,11877 Douglas Rd,"Johns Creek, GA  30005",770-751-3110,https://www.kroger.com,Johns Creek,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@JonesDouglas,Kroger @ Jones Bridge & Douglas
-84.178127544635,34.0448947553035,12,GROCERY_09,Super H Mart,10820 Abbotts Bridge Rd Suite 213,"Johns Creek, GA  30097",678-317-0240,https://www.hmart.com,Johns Creek,08:00:00,no special senior hours,SuperHMart@MedlockAbbotts,Super H Mart @ Medlock Bridge & Abbotts Bridge
-84.2714080252229,34.0228010177664,14,GROCERY_05,Kroger,3000 Old Alabama Rd  ,"Johns Creek, GA  30022",770-751-7384,https://www.kroger.com,Johns Creek,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@OldAlabamaHaynes,Kroger @ Old Alabama & Haynes Bridge
-84.2682446043566,34.0229527751508,15,GROCERY_08,Publix,9925 Haynes Bridge Rd  ,"Johns Creek, GA  30022",770-751-7980,https://www.publix.com,Johns Creek,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@HaynesOldAlabama,Publix @ Haynes Bridge & Old Alabama
-84.1705315621707,34.0705924791395,16,GROCERY_24,Sprouts,3630 Peachtree Pkwy #99,"Suwanee, GA  30024",678-690-1243,https://www.sprouts.com,Suwanee,07:00:00,no special senior hours,Sprouts@PTreeJCPkwy,Sprouts @ Peachtree Pkwy & Johns Creek Pkwy
-84.1291339940794,34.0570716861233,17,GROCERY_19,Publix,7780 McGinnis Ferry Rd,"Suwanee, GA  30024",770-622-0218,https://www.publix.com,Suwanee,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@McGinnisOldAtlanta,Publix @ McGinnis Ferry & Old Atlanta
-84.1200993309415,34.0211273025764,18,GROCERY_25,Sprouts,"2220 Peachtree Industrial Blvd, #200","Duluth, GA  097",470-362-7283,https://www.sprouts.com,Duluth,07:00:00,no special senior hours,Sprouts@PTreeIndustSugarloaf,Sprouts @ Peachtree Industrial & Sugarloaf Pkwy
-84.0999182145531,34.0373219122462,19,GROCERY_13,The Fresh Market,"1500 Peachtree Industrial Blvd, #300","Suwanee, GA  30024",678-714-0976,https://thefreshmarket.com,Suwanee,08:00:00,8:00 am to 9:00 am Monday through Friday,FreshMarket@PTreeIndustStation,Fresh Market @ Peachtree Industrial & Station Center Blvd
-84.0935529617573,34.0490308658633,20,GROCERY_12,Aldi,1165 Peachtree Industrial Blvd,"Suwanee, GA  30024",855-955-2534,https://www.aldi.us,Suwanee,09:00:00,8:30 am to 9:30 am on Tuesdays/Thursdays,Aldi@McGinnisFerryPTreeIndust,Aldi @ McGinnis Ferry & Peachtree Industrial
-84.0888855032889,34.0500807147787,21,GROCERY_20,Publix,1000 Peachtree Industrial Blvd,"Suwanee, GA  30024",770-932-4300,https://www.publix.com,Suwanee,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@PTreeIndustMcGinnis,Publix @ Peachtree Industrial & McGinnis Ferry
-84.0721266627057,34.0641595655551,22,GROCERY_15,Kroger,400 Peachtree Industrial Blvd,"Suwanee, GA  30024",770-932-4377,https://www.kroger.com,Suwanee,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@PTreeIndustSuwaneeDam,Kroger @ Peachtree Industrial & Suwanee Dam
-84.1727684328051,34.0056727924594,23,GROCERY_16,Kroger,3455 Peachtree Industrial Blvd,"Duluth, GA  30096",770-476-7914,https://www.kroger.com,Duluth,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@PTreeIndustPleasantHill,Kroger @ Peachtree Industrial & Pleasant Hill
-84.1689279265564,33.9877276084068,24,GROCERY_21,Publix,3870 Peachtree Industrial Blvd,"Duluth, GA  30096",770-813-7465,https://www.publix.com,Duluth,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@PTreeIndustSummitRidge,Publix @ Peachtree Industrial & Summit Ridge Pkwy
